Date,Dollers,Rupees
08/07/2023,$1,₹82.6467
09/07/2023,$1,₹82.6283
10/07/2023,$1,₹82.5359
11/07/2023,$1,₹82.3838
12/07/2023,$1,₹81.9746
13/07/2023,$1,₹82.0314
14/07/2023,$1,₹82.1337
15/07/2023,$1,₹82.1162
16/07/2023,$1,₹82.0752
17/07/2023,$1,₹82.0566
18/07/2023,$1,₹82.0756
19/07/2023,$1,₹82.0652
20/07/2023,$1,₹82.0838
21/07/2023,$1,₹82.003
22/07/2023,$1,₹82.004
23/07/2023,$1,₹82.0051
24/07/2023,$1,₹81.8143
25/07/2023,$1,₹81.9562
26/07/2023,$1,₹81.9757
27/07/2023,$1,₹82.3732
28/07/2023,$1,₹82.2598
29/07/2023,$1,₹82.2665
30/07/2023,$1,₹82.2634
31/07/2023,$1,₹82.2412
01/08/2023,$1,₹82.3371
02/08/2023,$1,₹82.6655
03/08/2023,$1,₹82.833
04/08/2023,$1,₹82.6767
05/08/2023,$1,₹82.6767
06/08/2023,$1,₹82.6869
07/08/2023,$1,₹82.7638
08/08/2023,$1,₹82.859
09/08/2023,$1,₹82.9243
10/08/2023,$1,₹82.9183
11/08/2023,$1,₹82.9566
12/08/2023,$1,₹82.9575
13/08/2023,$1,₹82.9558
14/08/2023,$1,₹83.4074
15/08/2023,$1,₹83.2043
16/08/2023,$1,₹83.2342
17/08/2023,$1,₹83.1014
18/08/2023,$1,₹83.157
19/08/2023,$1,₹83.1571
20/08/2023,$1,₹83.1606
21/08/2023,$1,₹83.1074
22/08/2023,$1,₹83.0844
23/08/2023,$1,₹82.5442
24/08/2023,$1,₹82.6346
25/08/2023,$1,₹82.5286
26/08/2023,$1,₹82.5483
27/08/2023,$1,₹82.5458
28/08/2023,$1,₹82.6664
29/08/2023,$1,₹82.5783
30/08/2023,$1,₹82.8087
31/08/2023,$1,₹82.6552
01/09/2023,$1,₹82.7238
02/09/2023,$1,₹82.7239
03/09/2023,$1,₹82.7341
04/09/2023,$1,₹82.7829
05/09/2023,$1,₹83.2428
06/09/2023,$1,₹83.2762
07/09/2023,$1,₹83.2303
08/09/2023,$1,₹83.045
09/09/2023,$1,₹83.045
10/09/2023,$1,₹83.0963
11/09/2023,$1,₹82.8235
12/09/2023,$1,₹82.2504
13/09/2023,$1,₹83.0067
14/09/2023,$1,₹83.1147
15/09/2023,$1,₹83.1041
16/09/2023,$1,₹83.1041
17/09/2023,$1,₹83.0893
18/09/2023,$1,₹83.2639
19/09/2023,$1,₹83.4426
20/09/2023,$1,₹83.06
21/09/2023,$1,₹83.1226
22/09/2023,$1,₹83.1088
23/09/2023,$1,₹83.0994
24/09/2023,$1,₹83.1023
25/09/2023,$1,₹83.052
26/09/2023,$1,₹83.2871
27/09/2023,$1,₹83.2358
28/09/2023,$1,₹83.1202
29/09/2023,$1,₹83.1775
30/09/2023,$1,₹83.1775
01/10/2023,$1,₹83.1208
02/10/2023,$1,₹83.364
03/10/2023,$1,₹83.2296
04/10/2023,$1,₹83.3594
05/10/2023,$1,₹83.2512
06/10/2023,$1,₹83.0882
07/10/2023,$1,₹83.12
08/10/2023,$1,₹83.1029
09/10/2023,$1,₹83.2274
10/10/2023,$1,₹83.3181
11/10/2023,$1,₹83.2163
12/10/2023,$1,₹83.1892
13/10/2023,$1,₹83.2796
14/10/2023,$1,₹83.2761
15/10/2023,$1,₹83.3247
16/10/2023,$1,₹83.2033
17/10/2023,$1,₹83.2624
18/10/2023,$1,₹83.2513
19/10/2023,$1,₹83.1137
20/10/2023,$1,₹83.2328
21/10/2023,$1,₹83.2524
22/10/2023,$1,₹83.2328
23/10/2023,$1,₹83.0363
24/10/2023,$1,₹83.0179
25/10/2023,$1,₹83.19
26/10/2023,$1,₹83.2849
27/10/2023,$1,₹83.4132
28/10/2023,$1,₹83.4166
29/10/2023,$1,₹83.4137
30/10/2023,$1,₹83.294
31/10/2023,$1,₹83.2639
01/11/2023,$1,₹83.2557
02/11/2023,$1,₹83.3063
03/11/2023,$1,₹83.1587
04/11/2023,$1,₹83.1587
05/11/2023,$1,₹83.1632
06/11/2023,$1,₹83.2298
07/11/2023,$1,₹83.2333
08/11/2023,$1,₹83.2178
09/11/2023,$1,₹83.32
10/11/2023,$1,₹83.2881
11/11/2023,$1,₹83.2942
12/11/2023,$1,₹83.295
13/11/2023,$1,₹83.1945
14/11/2023,$1,₹83.0417
15/11/2023,$1,₹83.1767
16/11/2023,$1,₹83.1648
17/11/2023,$1,₹83.2917
18/11/2023,$1,₹83.2917
19/11/2023,$1,₹83.3144
20/11/2023,$1,₹83.3225
21/11/2023,$1,₹83.3559
22/11/2023,$1,₹83.3529
23/11/2023,$1,₹83.3476
24/11/2023,$1,₹83.3157
25/11/2023,$1,₹83.3156
26/11/2023,$1,₹83.3232
27/11/2023,$1,₹83.3647
28/11/2023,$1,₹83.3645
29/11/2023,$1,₹83.3291
30/11/2023,$1,₹83.3557
01/12/2023,$1,₹83.2506
02/12/2023,$1,₹83.2506
03/12/2023,$1,₹83.254
04/12/2023,$1,₹83.4259
05/12/2023,$1,₹83.3135
06/12/2023,$1,₹83.3334
07/12/2023,$1,₹83.3561
08/12/2023,$1,₹83.4303
09/12/2023,$1,₹83.4303
10/12/2023,$1,₹83.4173
11/12/2023,$1,₹83.3461
12/12/2023,$1,₹83.3872
13/12/2023,$1,₹83.2847
14/12/2023,$1,₹83.2974
15/12/2023,$1,₹83.0485
16/12/2023,$1,₹83.0418
17/12/2023,$1,₹83.0254
18/12/2023,$1,₹83.1116
19/12/2023,$1,₹83.0861
