ds,yhat,yhat_lower,yhat_upper
2025-02-10 18:38:48,0.000636346898651043,0.00027427233670873836,0.0010091436406360435
2025-02-10 18:38:58,0.0006379648728425468,0.00028760765214678536,0.0009726290329505898
2025-02-10 18:39:08,0.0006395828470340506,0.00028149188764383716,0.0010147077286609284
2025-02-10 18:39:18,0.0006412008212255544,0.00029818072076759887,0.0010044973816209961
2025-02-10 18:39:28,0.0006428187954170583,0.0002682436272817336,0.000995761302937706
2025-02-10 18:39:38,0.0006444367696085622,0.00028207663341032834,0.0010170819924181014
2025-02-10 18:39:48,0.000646054743800066,0.00031110606872033434,0.0010065467514327644
2025-02-10 18:39:58,0.0006476727179915699,0.0002842465589940067,0.001002025783277102
2025-02-10 18:40:08,0.0006492906921830737,0.00027365317885352385,0.0009952773948059294
2025-02-10 18:40:18,0.0006509086663745775,0.00030739878638002237,0.0010337885474394303
2025-02-10 18:40:28,0.0006525266405660814,0.00029532192493542526,0.0010272072909272185
2025-02-10 18:40:38,0.0006541446147575853,0.0003074810611508331,0.001032448656125337
2025-02-10 18:40:48,0.0006557625887927894,0.00028073446516922544,0.001042555835103309
2025-02-10 18:40:58,0.0006573805628279936,0.0003000164237857058,0.0010190751274025578
2025-02-10 18:41:08,0.0006589985368631977,0.00028354995854104154,0.0010303986427682547
2025-02-10 18:41:18,0.0006606165108984019,0.0003165123095011564,0.001053336552247857
2025-02-10 18:41:28,0.0006622344849336061,0.0003151625399056098,0.0010399303373854495
2025-02-10 18:41:38,0.0006638524589688102,0.00028275749772687335,0.0010529968242088573
2025-02-10 18:41:48,0.0006654704330040144,0.0003050280225465691,0.0010397994789381607
2025-02-10 18:41:58,0.0006670884070392186,0.00026742700995842177,0.0010469037546632883
2025-02-10 18:42:08,0.0006687063810744227,0.00032059600399310796,0.001035082772021542
2025-02-10 18:42:18,0.0006703243551096268,0.00030212473905636463,0.0010432124533067953
2025-02-10 18:42:28,0.000671942329144831,0.0003150005039580665,0.0010575737248104385
2025-02-10 18:42:38,0.0006735603031800352,0.0002877484832036005,0.0009955791079356534
2025-02-10 18:42:48,0.0006751782767075923,0.0003106258766091741,0.001029456250403761
